case_id,title,source_name,source_type,source_url,source_locator,public_status,license_or_reuse_note,app_family,vuln_class_raw,vuln_class_norm,attack_surface_keywords,endpoint_pattern,endpoint_pattern_status,seed_params,seed_params_status,expected_evidence,emulation_grade,automation_grade,north_star_section,statefulness,difficulty,difficulty_scale,description,hints,tags,normalization_confidence,extraction_notes,second_order_sink
juice-restfulxsschallenge,API-only XSS,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,restfulXssChallenge,public,official public training-app challenge definition,juice-shop,XSS,xss.stored,"['api', 'wallet', 'client']","['/(#/)?search\\b', '/rest/products/search']",heuristic,"['q', 'search', 'query', 'id', 'variables']",heuristic,attacker-controlled payload is stored and later rendered unsafely,stateful,browser_assisted,xss,stateful,3,juice-shop-1-6,Perform a persisted XSS attack with without using the frontend application at all.,"['You need to work with the server-side API directly. Try different HTTP verbs on different entities exposed through the API.', 'A matrix of known data entities and their supported HTTP verbs through the API can help you here.', 'Careless developers might have exposed API methods that the client does not even need.']",['Danger Zone'],0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-accesslogdisclosurechallenge,Access Log,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,accessLogDisclosureChallenge,public,official public training-app challenge definition,juice-shop,Observability Failures,info-disclosure,['file'],"['/ftp(?:/|$)', '/assets/', '/download', '/logs?']",heuristic,"['path', 'file', 'filename']",heuristic,"sensitive file, data object, or credential material is retrievable without intended protection",replayable,signature,exposure,stateless,4,juice-shop-1-6,Gain access to any access log file of the server.,"['Who would want a server access log to be accessible through a web application?', 'Normally, server log files are written to disk on server side and are not accessible from the outside.', 'Which raises the question: Who would want a server access log to be accessible through a web application?', 'One particular file found in the folder you might already have found during the ""Access a confidential document"" challenge might give you an idea who is interested in such a public exposure.', 'Drilling down one level into the file system might not be sufficient.']",[],0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-registeradminchallenge,Admin Registration,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,registerAdminChallenge,public,official public training-app challenge definition,juice-shop,Improper Input Validation,access-control.admin-exposure,"['admin', 'api']","['/(#/)?admin\\b', '/api/admin\\b']",heuristic,"['id', 'query', 'variables']",heuristic,unauthorized user can reach administrative functionality or content,stateful,signature_plus_state,access-control,stateful,3,juice-shop-1-6,Register as a user with administrator privileges.,"['You have to assign the unassignable.', 'Register as an ordinary user to learn what API endpoints are involved in this use case.', 'Think of the simplest possible implementations of a distinction between regular users and administrators.']",[],0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-adminsectionchallenge,Admin Section,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,adminSectionChallenge,public,official public training-app challenge definition,juice-shop,Broken Access Control,access-control.admin-exposure,"['admin', 'client']","['/(#/)?admin\\b', '/api/admin\\b']",heuristic,"['next', 'url', 'redirect']",heuristic,unauthorized user can reach administrative functionality or content,stateful,signature_plus_state,access-control,stateful,2,juice-shop-1-6,Access the administration section of the store.,"['It is just slightly harder to find than the score board link.', 'Knowing it exists, you can simply guess what URL the admin section might have.', 'Alternatively, you can try to find a reference or clue within the parts of the application that are not usually visible in the browser.', 'It is probably just slightly harder to find and gain access to than the score board link.', 'There is some access control in place, but there are at least three ways to bypass it.']",['Good for Demos'],0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-filewritechallenge,Arbitrary File Write,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,fileWriteChallenge,public,official public training-app challenge definition,juice-shop,Vulnerable Components,arbitrary-file-write,['file'],"['/ftp(?:/|$)', '/assets/', '/download', '/logs?', '/upload', '/file-upload', '/api/.*upload']",heuristic,"['path', 'file', 'filename', 'contentType']",heuristic,attacker can overwrite server-side file content or path targets,workflow,ai_assisted,supply-chain,workflow,6,juice-shop-1-6,Overwrite the Legal Information file.,"['Look out for a tweet praising new functionality of the web shop. Then find a third party vulnerability associated with it.', 'Find all places in the application where file uploads are possible.', 'For at least one of these, the Juice Shop is depending on a library that suffers from an arbitrary file overwrite vulnerability.', 'You can find a hint toward the underlying vulnerability in the @owasp_juiceshop Twitter timeline.']","['Danger Zone', 'Prerequisite']",0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-resetpasswordbjoernowaspchallenge,Bjoern's Favorite Pet,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,resetPasswordBjoernOwaspChallenge,public,official public training-app challenge definition,juice-shop,Broken Authentication,xxe,['login'],"['/(#/)?login\\b', '/rest/user/login', '/rest/user/reset-password']",heuristic,"['email', 'password', 'answer', 'newPassword', 'xml', 'file', 'url']",heuristic,XML parser resolves attacker-controlled external entities or leaks file/network access,replayable,signature,xxe,stateless,3,juice-shop-1-6,Reset the password of Bjoern's OWASP account via the Forgot Password mechanism with the original answer to his security question.,"['Hints to the answer to Bjoern’s question can be found by looking him up on the Internet.', 'More precisely, Bjoern might have accidentally (?) doxxed himself by mentioning his security answer on at least one occasion where a camera was running.', 'Brute forcing the answer might be very well possible with a sufficiently extensive list of common pet names.']",['OSINT'],0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-tokensalechallenge,Blockchain Hype,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,tokenSaleChallenge,public,official public training-app challenge definition,juice-shop,Security through Obscurity,obscurity-hidden-surface,['wallet'],"['/(#/)?wallet\\b', '/(#/)?token-sale\\b', '/api/.*web3']",heuristic,"['next', 'url', 'redirect']",heuristic,security depends on hidden routes or obfuscated client-side knowledge,workflow,ai_assisted,discovery,workflow,5,juice-shop-1-6,Learn about the Token Sale before its official announcement.,"['The developers truly believe in ""Security through Obscurity"" over actual access restrictions.', 'Guessing or brute forcing the URL of the token sale page is very unlikely to succeed.', 'You should closely investigate the place where all paths within the application are defined.', 'Beating the employed obfuscation mechanism manually will take some time. Maybe there is an easier way to undo it?']","['Contraption', 'Code Analysis', 'Web3']",0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-nftunlockchallenge,NFT Takeover,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,nftUnlockChallenge,public,official public training-app challenge definition,juice-shop,Sensitive Data Exposure,info-disclosure,['wallet'],"['/(#/)?wallet\\b', '/(#/)?token-sale\\b', '/api/.*web3']",heuristic,[],unknown,"sensitive file, data object, or credential material is retrievable without intended protection",replayable,signature,exposure,stateless,2,juice-shop-1-6,Take over the wallet containing our official Soul Bound Token (NFT).,['Find the seed phrase posted accidentally.'],"['Contraption', 'Good for Demos', 'Web3']",0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-nftmintchallenge,Mint the Honey Pot,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,nftMintChallenge,public,official public training-app challenge definition,juice-shop,Improper Input Validation,business-logic,['wallet'],"['/(#/)?wallet\\b', '/(#/)?token-sale\\b', '/api/.*web3']",heuristic,[],unknown,multi-step workflow can be manipulated to reach unintended business outcome,workflow,ai_assisted,business-logic,workflow,3,juice-shop-1-6,Mint the Honey Pot NFT by gathering BEEs from the bee haven.,['Discover NFT wonders among the captivating visual memories.'],"['Web3', 'Internet Traffic']",0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
juice-web3walletchallenge,Wallet Depletion,OWASP Juice Shop,public_training_app,https://raw.githubusercontent.com/juice-shop/juice-shop/master/data/static/challenges.yml,web3WalletChallenge,public,official public training-app challenge definition,juice-shop,Miscellaneous,business-logic,['wallet'],"['/(#/)?wallet\\b', '/(#/)?token-sale\\b', '/api/.*web3']",heuristic,[],unknown,multi-step workflow can be manipulated to reach unintended business outcome,workflow,ai_assisted,business-logic,workflow,6,juice-shop-1-6,Withdraw more ETH from the new wallet than you deposited.,['Try to exploit the contract of the wallet.'],"['Web3', 'Internet Traffic']",0.68,Title/description/hints were parsed from the official challenge YAML. Endpoint patterns and seed params are heuristic unless explicitly visible in text.,
